song_id,release_year,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,popularity,artist_type,genre,hit,duration_log,followers_log
00kG3Kz2rxem4XswOmtF3s,1964,E,0.804,0.407,0.737,0.0,0.123,-7.741,0.0417,0.925,150.053,15.0,band,unknown,0,11.538476245814234,7.212294468500341
00klbNctBWN9HFIOqxC8Xl,1993,G,0.14,0.676,0.543,8.29e-06,0.0601,-9.986,0.027,0.543,107.995,60.0,band,rock,0,12.58314170846604,11.958066310897376
00kvKlIvfzQLSi6T2zwXuS,1977,G,0.276,0.731,0.617,0.0142,0.134,-11.644,0.0529,0.765,90.94,57.0,band,soul/r&b,1,12.6084262512649,12.043806625224644
00p615Q4EFYMIAr055wqRu,1994,D,0.0386,0.555,0.86,0.0,0.325,-5.965,0.038,0.468,108.594,80.0,singer,rock,1,12.797486059154641,14.499012371164957
00qOE7OjRl0BpYiCiweZB2,1982,A,0.0828,0.357,0.653,0.0,0.0844,-5.554,0.0654,0.522,176.647,73.0,band,rock,0,12.467671232325932,14.055752691781718
00qyVgLK2j92HYoFaNCnVD,2010,"C♯, D♭",0.016,0.714,0.669,0.0,0.11,-6.461,0.0723,0.54,119.923,73.0,singer,pop,0,12.296160119810935,14.273423260665766
00r40cNOJTjlNw5cG4ADHf,1979,E,0.314,0.657,0.314,4.89e-06,0.12,-18.858,0.0329,0.422,124.611,71.0,band,rock,0,12.674618963413346,13.859064178195565
00rGtsA6s1ymgW70p1LzlM,1998,B,0.0138,0.539,0.93,0.0,0.0673,-6.035,0.0624,0.584,127.454,25.0,-,rock,0,12.294271234171744,8.085486772102845
00s8BJKpmRssdafY6zTxhZ,1970,"C♯, D♭",0.0639,0.631,0.608,9.8e-05,0.0816,-9.944,0.0582,0.606,167.721,65.0,singer,reggae,0,12.047709773530876,12.960185566189685
00s8dO3RWrFkBqC9JIy6ag,1976,F,0.49,0.692,0.653,0.00707,0.455,-5.715,0.0392,0.901,148.018,45.0,singer,pop,1,12.166645511073481,8.415603335654604
00vOOYsPo7fmlToYOjGwI2,2009,C,0.166,0.51,0.683,0.0,0.0795,-4.338,0.0302,0.211,159.918,78.0,singer,country,0,12.281245050973725,15.300821403865115
00x5Jgz36JDkrFAl8H80EO,1992,A,0.0213,0.567,0.809,6.95e-06,0.0923,-7.136,0.0348,0.479,94.703,49.0,band,rock,0,12.432415074973783,12.140322724277013
