song_id,score,release_year,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,explicit,song_type,followers,popularity,artist_type,main_genre
00klbNctBWN9HFIOqxC8Xl,360,1993,291600,7,1,4,0.14,0.676,0.543,8.29e-06,0.0601,-9.986,0.027,0.543,107.995,False,Solo,156070.0,60.0,band,album rock
00kvKlIvfzQLSi6T2zwXuS,1693,1977,299067,7,0,4,0.276,0.731,0.617,0.0142,0.134,-11.644,0.0529,0.765,90.94,False,Solo,170042.0,57.0,band,classic soul
00p615Q4EFYMIAr055wqRu,1038,1994,361307,2,0,4,0.0386,0.555,0.86,0.0,0.325,-5.965,0.038,0.468,108.594,False,Solo,1980801.0,80.0,singer,album rock
00qOE7OjRl0BpYiCiweZB2,928,1982,259800,9,1,4,0.0828,0.357,0.653,0.0,0.0844,-5.554,0.0654,0.522,176.647,False,Solo,1271556.0,73.0,band,album rock
00qyVgLK2j92HYoFaNCnVD,5,2010,218853,1,1,4,0.016,0.714,0.669,0.0,0.11,-6.461,0.0723,0.54,119.923,False,Collaboration,1580770.0,73.0,singer,dance pop
00r40cNOJTjlNw5cG4ADHf,568,1979,319533,4,1,4,0.314,0.657,0.314,4.89e-06,0.12,-18.858,0.0329,0.422,124.611,False,Solo,1044515.0,71.0,band,album rock
00rGtsA6s1ymgW70p1LzlM,699,1998,218440,11,1,4,0.0138,0.539,0.93,0.0,0.0673,-6.035,0.0624,0.584,127.454,False,Solo,3246.0,25.0,-,grunge pop
00s8BJKpmRssdafY6zTxhZ,39,1970,170707,1,1,4,0.0639,0.631,0.608,9.8e-05,0.0816,-9.944,0.0582,0.606,167.721,False,Solo,425144.0,65.0,singer,reggae
00s8dO3RWrFkBqC9JIy6ag,1859,1976,192267,5,1,4,0.49,0.692,0.653,0.00707,0.455,-5.715,0.0392,0.901,148.018,False,Solo,4516.0,45.0,singer,classic uk pop
00vOOYsPo7fmlToYOjGwI2,829,2009,215613,0,1,4,0.166,0.51,0.683,0.0,0.0795,-4.338,0.0302,0.211,159.918,False,Solo,4416337.0,78.0,singer,contemporary country
00x5Jgz36JDkrFAl8H80EO,386,1992,250800,9,1,4,0.0213,0.567,0.809,6.95e-06,0.0923,-7.136,0.0348,0.479,94.703,False,Solo,187272.0,49.0,band,album rock
00z7KscyujNtThfKhIVeEb,1135,2013,200533,1,1,4,0.0158,0.548,0.673,0.0,0.0794,-5.29,0.0268,0.652,81.947,False,Solo,1456257.0,72.0,singer,contemporary country
00zqTWtvCWvDtAqoLRl6Sy,25,2009,236213,11,1,4,0.376,0.682,0.646,0.0,0.0705,-5.509,0.0839,0.253,128.279,False,Solo,724487.0,60.0,-,dance pop
013AWvizllIUEC2FOBzOnh,6157,1998,277267,0,1,4,0.403,0.555,0.698,0.0,0.0851,-8.874,0.0287,0.816,168.12,False,Solo,548571.0,69.0,singer,australian pop
0158TMiGmHyibaDeaUKayX,807,2010,209253,7,1,4,0.00643,0.635,0.758,0.0,0.229,-5.772,0.0243,0.322,113.002,False,Solo,509021.0,62.0,-,contemporary country
015A6ZcNAWSSuwY7iDcD1b,1549,1999,278760,2,0,4,0.467,0.682,0.579,2.21e-06,0.0952,-6.526,0.101,0.712,76.915,True,Solo,1939362.0,73.0,singer,-
015dXT3hAZz9dTvEVs9vkK,78,1970,159547,2,1,4,0.763,0.523,0.411,0.238,0.145,-18.696,0.0657,0.583,177.485,False,Solo,1507.0,51.0,singer,arkansas country
015qd1I4v00JIoK7yOUgKC,2014,1991,292933,4,1,4,0.763,0.706,0.44,0.0,0.0958,-11.577,0.0493,0.395,90.012,False,Solo,432082.0,58.0,singer,dance pop
0187LgdeJTJT1kw9YUfDQZ,985,1980,254400,0,1,4,0.00296,0.713,0.569,2.46e-05,0.0729,-12.872,0.0298,0.648,111.663,False,Solo,138064.0,56.0,singer,adult standards
019HTMqFkZn52QslajmGWv,18,2009,215200,10,1,4,0.0236,0.401,0.802,0.0,0.224,-5.646,0.0291,0.326,163.987,False,Solo,453959.0,64.0,singer,acoustic pop
019LymYgh7wHQaInMdZd0Z,405,1988,232573,10,0,4,0.558,0.5,0.313,0.0,0.356,-14.124,0.03,0.179,140.484,False,Collaboration,10.0,36.0,singer,-
01Aj44KIjCrPmZeXq4UOky,1196,2001,236400,7,1,4,0.163,0.412,0.577,0.0,0.0969,-4.944,0.119,0.345,173.675,False,Solo,3405591.0,77.0,band,dance pop
